,curr_term,curr_volume,curr_rank,avg_volume,avg_rank,std_units_delta_volume,median_volume,median_rank,std_volume,std_rank,N,volume_change_pct,rank_change_pct,std_units_delta_rank,report_start,report_end
0,3m n95 mask 20 pack,5542,136975,777.3076923076923,383620.07692307694,4.847995056656241,100,441962,982.8170722143045,128965.8205135903,13,0.859742386808428,-1.8006576157917644,-1.9124840670252294,2020-04-18,2020-07-18
1,absentia season 3,31503,53492,1242.2307692307693,544413.9230769231,11.786561193268117,100,590687,2567.395929531392,265286.0576957326,13,0.9605678580061972,-9.177483045631554,-1.850537971505391,2020-04-18,2020-07-18
2,atm piggy bank,4807,147060,1080.3846153846155,288854.6923076923,6.027115756098812,943,290656,618.3082481607291,46568.477157093825,13,0.775247635659535,-0.9641961941227547,-3.0448642722278194,2020-04-18,2020-07-18
3,auto scanner,7689,115793,903.6153846153846,355693.6923076923,4.05360322587495,464,352223,1673.914351575449,95641.86320712687,13,0.8824794661704533,-2.0718065194587956,-2.5083230738421647,2020-04-18,2020-07-18
4,automatic knife,392905,10485,126927.84615384616,24629.615384615383,5.785132177658721,104824,26323,45975.98562627769,5138.946366368329,13,0.6769502903911986,-1.3490334177029455,-2.7524349110129593,2020-04-18,2020-07-18
5,baby push walker,50283,40861,17836.153846153848,78170.0,5.186564844776728,19012,71050,6255.941480520124,18777.312449691337,13,0.6452846121720294,-0.9130711436332933,-1.986919059900571,2020-04-18,2020-07-18
6,back to school supplies college,5508,137399,658.4,438053.8,5.405269339328483,403,362929,897.198584483948,220855.58725262078,5,0.8804647785039943,-2.188187686955509,-1.3613185146912432,2020-04-18,2020-07-18
7,bed set queen size comforter set with sheets,9058,106246,3956.846153846154,172060.84615384616,3.0517349839234478,3840,164036,1671.558596348223,41843.479390155386,13,0.5631655824855206,-0.6194571668942469,-1.5728817754417088,2020-04-18,2020-07-18
8,bookcase with glass doors,4596,150346,2588.3846153846152,199892.07692307694,3.0803710968614464,2582,197031,651.7446507211162,21896.459468224293,13,0.43681796880230306,-0.3295470243510099,-2.2627437552165555,2020-04-18,2020-07-18
9,branch basics,7063,121014,2540.846153846154,206780.0,4.6879380168578315,2580,197112,964.6360147877754,39569.970844905445,13,0.6402596412507214,-0.7087279157783397,-2.1674516854247874,2020-04-18,2020-07-18
10,buddah,12533,89293,7308.2307692307695,120996.07692307692,3.216020819580072,7105,120644,1624.6067808265768,14468.45619189978,13,0.4168809726936273,-0.3550454898264917,-2.1911858806902984,2020-04-18,2020-07-18
11,bumbo floor seat,16666,76418,4730.692307692308,158184.0,4.122745831691669,4295,155408,2894.9899362120814,29255.84604826871,13,0.7161471074227584,-1.0699835117380723,-2.7948602089680024,2020-04-18,2020-07-18
12,camp chairs for adults heavy duty,99958,27105,28119.076923076922,83807.92307692308,3.1567714670088445,27448,57840,22757.087051662016,57593.7122558553,13,0.7186910810232605,-2.091972812282718,-0.9845332217000535,2020-04-18,2020-07-18
13,cat wall,7541,116971,2970.769230769231,187765.61538461538,6.305580133106812,2879,187644,724.7914819502863,20049.99528070793,13,0.6060510236348985,-0.6052321975926971,-3.530904341545348,2020-04-18,2020-07-18
14,chic fil a sauces,56423,38196,2203.230769230769,316367.92307692306,20.526884713425602,990,286072,2641.4027256316595,166046.16843389347,13,0.960951548672868,-7.282750106736911,-1.6752685454929317,2020-04-18,2020-07-18
15,chinese tv drama prime,63298,35692,16000.846153846154,98898.92307692308,4.575984801007866,16429,77021,10335.95081778606,53609.715088874116,13,0.7472140327680786,-1.7708988870593712,-1.1790199401757446,2020-04-18,2020-07-18
16,classroom supplies for teachers elementary,1218412,3825,256324.23076923078,19832.53846153846,4.35644091984041,241897,15217,220842.60682823937,11859.802054386522,13,0.7896243382622374,-4.184977375565611,-1.34973066060726,2020-04-18,2020-07-18
17,co2 rifle,17091,75364,8662.846153846154,110895.84615384616,3.761468920404623,7627,116289,2240.654920856617,12653.457128693812,13,0.4931340381577348,-0.4714697488700992,-2.8080741723360174,2020-04-18,2020-07-18
18,cobra kai,82180,30537,34932.53846153846,52359.230769230766,3.912801360419864,31558,53439,12075.09842344556,8352.382575786844,13,0.5749265215193665,-0.7146160647486907,-2.6126953083414026,2020-04-18,2020-07-18
19,contour next test strips 100,5484,137696,353.1666666666667,746242.5,8.273814102653075,100,873674,620.129153214608,269668.11524075293,6,0.9356005348893751,-4.419492940971415,-2.256649806213482,2020-04-18,2020-07-18
20,corded stick vacuum,4177,157522,1505.923076923077,257919.15384615384,3.3348686287043336,1299,260360,800.9541665557879,47541.45692243447,13,0.639472569565938,-0.6373532195258684,-2.111781176793872,2020-04-18,2020-07-18
21,costzon,14667,81970,2082.5384615384614,252162.76923076922,5.511806877569325,1246,264309,2283.182596559191,70490.76901877986,13,0.8580119682594627,-2.0762811910548886,-2.41439796444024,2020-04-18,2020-07-18
22,demonias,17491,74407,2476.923076923077,257151.38461538462,6.53872373881727,1512,246020,2296.178508650785,110678.99305163142,13,0.858388709798006,-2.4560106524303444,-1.6511207734798863,2020-04-18,2020-07-18
23,dual compartment trash can,13004,87524,4763.461538461538,158195.23076923078,3.6405611570631744,4367,154157,2263.5352370199075,36171.062840696875,13,0.6336925916286112,-0.8074497368633835,-1.953805755735687,2020-04-18,2020-07-18
24,electric wheel,9295,104807,934.5384615384615,294847.0,29.293788995291393,839,301418,285.40048335179097,27581.21674255869,13,0.899457938511193,-1.813237665423111,-6.890196388862072,2020-04-18,2020-07-18
25,embroidered face mask,15547,79393,1470.0833333333333,457020.75,5.867827803051412,186,400955,2398.999619475256,280689.83180084446,12,0.9054426363071117,-4.756436335697102,-1.3453560023076827,2020-04-18,2020-07-18
26,fabric by the yard for face masks,7608,116441,339.7692307692308,496937.8461538461,19.65849355319068,100,468352,369.7247070109854,196774.3788072379,13,0.9553405322332768,-3.267722246922013,-1.9336706763362956,2020-04-18,2020-07-18
27,file folders for filing cabinet,61752,36218,16317.384615384615,99598.92307692308,3.3545764487503993,12197,90613,13544.069148145383,43487.19599196515,13,0.735759414830538,-1.7499840708190149,-1.4574617109972683,2020-04-18,2020-07-18
28,flight yoke,8313,111162,2568.6153846153848,200260.6923076923,9.261427792162971,2598,196483,620.2482753518328,20630.536490780738,13,0.6910122236719133,-0.8015211340898176,-4.3187772817981855,2020-04-18,2020-07-18
29,foam letters,21391,66537,14777.384615384615,82161.38461538461,3.4037825358588263,14681,81925,1943.0193659380384,5907.499436288047,13,0.3091774757896024,-0.23482249899130725,-2.6448389515551316,2020-04-18,2020-07-18
30,frea,4992,144328,1172.2307692307693,386339.53846153844,3.5916164134337634,1000,285097,1063.5237149719287,238782.19686484704,13,0.765178131163708,-1.6768162689259078,-1.0135242142801761,2020-04-18,2020-07-18
31,funk off face mask,5322,139785,956.0,449740.0,3.779345812796451,498,346528,1155.2263847402378,306258.07333685097,3,0.8203682826005261,-2.217369531780949,-1.0120712790453783,2020-04-18,2020-07-18
32,futon sofa bed with mattress and frame,99928,27110,22206.076923076922,73471.07692307692,5.2541559257670345,15147,80536,14792.466035460633,18645.87899269585,13,0.7777792318161384,-1.710109809040093,-2.486398036865838,2020-04-18,2020-07-18
33,ghillie kettle,11951,91616,316.0,526278.75,26.93287037037037,100,438660,432.0,198496.78107780492,4,0.9735586980169023,-4.744397812609151,-2.18977228567563,2020-04-18,2020-07-18
34,ghosts of tsushima,7939,113876,191.0,535598.0833333334,42.24264037744034,100,436794,183.41656512877012,171204.93732974917,12,0.9759415543519335,-3.7033447199878236,-2.4632588867520555,2020-04-18,2020-07-18
35,hawaiian shirt,789863,5845,187518.15384615384,26563.615384615383,3.207213644251316,115474,24789,187809.39250289826,14505.235684276566,13,0.7625940779019224,-3.5446732907810747,-1.4283542739725366,2020-04-18,2020-07-18
36,hellsing,6396,127353,2506.3076923076924,201516.76923076922,7.926432782412265,2546,198246,490.7241901203067,17295.055777850917,13,0.6081445133977967,-0.582348034445747,-4.288148600581432,2020-04-18,2020-07-18
37,ita bag,101994,26771,48221.46153846154,42825.846153846156,4.8894490630902965,47108,42443,10997.668196905686,6023.773579827321,13,0.527212762138346,-0.5997103639701975,-2.665247280809381,2020-04-18,2020-07-18
38,jim gaffigan,842648,5446,392060.76923076925,10907.076923076924,4.3717378679288785,378208,10825,103068.21780755522,2466.6428758381444,13,0.5347277045328901,-1.0027684397864347,-2.2139714575509015,2020-04-18,2020-07-18
39,juice wrld hoodies,493150,8544,135971.15384615384,24596.46153846154,4.596738782513323,120813,24098,77702.66335616188,6399.265838299795,13,0.7242803328679837,-1.878799337366753,-2.508484870621733,2020-04-18,2020-07-18
40,macbook air 13 inch case marble,6179,129623,2711.4615384615386,197996.15384615384,4.104426230299142,2631,195380,844.8290374768748,29953.292256016844,13,0.561181171959615,-0.5274770206379565,-2.282659056699166,2020-04-18,2020-07-18
41,mask adjuster,146445,21327,13762.23076923077,202646.61538461538,5.417230233314909,3320,175713,24492.73217423843,131922.2418936868,13,0.9060245773551109,-8.501880967065944,-1.374443102102046,2020-04-18,2020-07-18
42,math manipulatives 1st grade,13093,87202,1043.2,596712.8,5.859759683050997,100,735042,2056.364194397481,313228.1302305079,5,0.9203238371648972,-5.84287975046444,-1.626644451202533,2020-04-18,2020-07-18
43,mens face mask for virus,724222,6466,177796.23076923078,25778.23076923077,3.310057135580268,94383,28075,165080.46442980156,12012.709347144562,13,0.7545003731325053,-2.9867353494016036,-1.607649882399037,2020-04-18,2020-07-18
44,mortar and pestle set,1141732,4052,137499.38461538462,32996.692307692305,4.3568939797132495,59217,37125,230492.78225739824,10983.54835185041,13,0.8795694746092912,-7.143310046320904,-2.6352769961463287,2020-04-18,2020-07-18
45,mrs wages salsa mix,6147,129969,639.7692307692307,397921.07692307694,5.293604396626619,100,434906,1040.35556052135,118160.77652324786,13,0.8959217129056075,-2.061661449446229,-2.2676905552525546,2020-04-18,2020-07-18
46,my hero academia manga,386675,10627,255207.92307692306,14721.923076923076,4.759185557846599,251083,14818,27623.860285574196,1073.9203463276083,13,0.33999373355680335,-0.3853319918060672,-3.813060336296009,2020-04-18,2020-07-18
47,neca tmnt,42231,45218,9517.692307692309,115586.07692307692,5.652859282614043,6936,122159,5787.037330456973,31535.408320017934,13,0.7746278253488597,-1.5561961370046646,-2.231398947145039,2020-04-18,2020-07-18
48,nightstand white,198121,17474,60575.769230769234,39203.153846153844,5.391964498350891,55306,38647,25509.298292171316,9072.878262952665,13,0.6942486196275547,-1.2435134397478451,-2.394957059534307,2020-04-18,2020-07-18
49,oil filter removal tool,43966,44177,10746.076923076924,134166.6923076923,3.0607658221787846,5357,139329,10853.467728960626,60927.7746302738,13,0.7555821106519374,-2.0370258801569214,-1.4769896464096068,2020-04-18,2020-07-18
50,online,3762,165656,2091.3076923076924,219993.15384615384,3.0604942884829502,2172,212412,545.88969957544,29767.827316433857,13,0.4440968388336809,-0.32801198777076496,-1.8253651255278565,2020-04-18,2020-07-18
51,paw patrol masks for kids,11308,94389,1205.3333333333333,464514.1666666667,4.650029542551967,100,441713,2172.602684395475,243866.49340900863,12,0.8934087961325314,-3.9212743716605396,-1.5177368628739791,2020-04-18,2020-07-18
52,picture frames 8x10,568100,7394,233944.0,16499.615384615383,3.2816916078599685,220346,16246,101824.31499646831,3519.583203033695,13,0.5881992606935399,-1.2314870685170927,-2.587128889797753,2020-04-18,2020-07-18
53,pimple patches,903607,5064,110668.0,42504.07692307692,3.7704025770916303,39576,46943,210306.18979993594,15701.26464896771,13,0.8775264025179088,-7.393380119091019,-2.3845261996484113,2020-04-18,2020-07-18
54,pink heels for women,7460,117630,3296.6923076923076,182860.61538461538,3.3763784457492223,3089,181681,1233.069029198784,30667.876987543117,13,0.5580841410600124,-0.5545406391619092,-2.12700133795082,2020-04-18,2020-07-18
55,pirate ship,35306,50123,13685.846153846154,87146.0,5.293997390570206,12946,87737,4083.8996038540135,10463.941744549866,13,0.6123648628038816,-0.7386429383716059,-3.538150431627106,2020-04-18,2020-07-18
56,rakhis,94037,28138,3563.0,260201.5,19.217416317534305,234,122557,4707.9169491400335,194658.71868606348,2,0.9621106585705627,-8.247334565356457,-1.19215569467639,2020-04-18,2020-07-18
57,red 2,22416,64819,5005.615384615385,164028.0,4.929014597982251,3020,183576,3532.2241939619653,47930.18078935234,13,0.7766945313786856,-1.5305543127786605,-2.0698649236482587,2020-04-18,2020-07-18
58,remington curling wand,5158,141988,2255.4615384615386,213262.92307692306,4.186168540578934,2179,212120,693.3639755309636,25903.86676882282,13,0.5627255644704268,-0.5019784987247026,-2.7515167412267423,2020-04-18,2020-07-18
59,roku tv remote control app,6131,130140,2031.923076923077,225929.84615384616,4.267798653659088,1880,225613,960.4663330502933,31928.485288339187,13,0.668582111087412,-0.7360522987079003,-3.0001375038242166,2020-04-18,2020-07-18
60,room decor for teen girls aesthetic,4799,147177,760.875,364172.875,5.93597422734948,562,307735,680.2800762501113,126502.15220465903,8,0.8414513440300062,-1.4743871325003228,-1.715353226946981,2020-04-18,2020-07-18
61,rose gold shower curtain,12983,87602,7959.307692307692,115053.84615384616,3.4671595359615943,7956,113748,1448.9360110448506,11098.69498969852,13,0.3869438733491726,-0.3133700846310148,-2.4734300905940874,2020-04-18,2020-07-18
62,round hair brushes for women,5322,139789,2519.769230769231,204891.53846153847,3.344401613154768,2373,204467,837.8870403029827,31848.677033265147,13,0.5265371606972509,-0.46572003849758187,-2.0441206519674426,2020-04-18,2020-07-18
63,sauce cups,16320,77304,6506.692307692308,132175.76923076922,3.7633543285049664,5431,138368,2607.5959996586703,23564.670303775547,13,0.6013056184012066,-0.7098179813563233,-2.3285608719922397,2020-04-18,2020-07-18
64,sexy toysfor adults couples clearance,125868,23485,10812.0,410301.6,6.429495414637522,100,567274,17895.027926773404,316074.1688501292,5,0.9141004862236629,-16.470794123908878,-1.2238159208239958,2020-04-18,2020-07-18
65,smile amazon.com prime,9646,102765,1012.9230769230769,449471.6923076923,5.51646049295585,177,411943,1564.9666908882577,222057.38671095233,13,0.8949903507232971,-3.3737818547919263,-1.561338253336258,2020-04-18,2020-07-18
66,travel toothbrush holder,8681,108662,1156.7692307692307,314329.8461538461,5.235759799305094,557,337406,1437.0847895332035,89069.4286019303,13,0.8667470071686176,-1.8927301738772166,-2.309073375479013,2020-04-18,2020-07-18
67,under cabinet lights battery operated,5899,132720,1008.3076923076923,463173.3846153846,3.401830748822363,229,399120,1437.6647954591376,257022.52033351036,13,0.8290714201885587,-2.489853711689155,-1.2856981722324992,2020-04-18,2020-07-18
68,unicorns gifts for girls,334123,11964,30709.46153846154,75061.92307692308,8.51177027739809,12649,88847,35646.34953403453,31004.179456060272,13,0.9080893517104134,-5.273982203019314,-2.035142493170854,2020-04-18,2020-07-18
69,vitamin holder organizer,6970,121851,2278.769230769231,227584.61538461538,3.107679894057079,1866,226342,1509.5604853646503,56347.519779103044,13,0.673060368612736,-0.8677287456370105,-1.8764555352057852,2020-04-18,2020-07-18
70,white hand towels for bathroom,22201,65169,7707.538461538462,122512.07692307692,3.6801494389679643,6557,125743,3938.2807081133055,21808.26010353852,13,0.6528292211369551,-0.8799134085696715,-2.629420075275637,2020-04-18,2020-07-18
71,window swamp cooler,6321,128129,1169.8461538461538,370172.3846153846,4.136550180867008,740,312818,1245.2777365012357,194237.1084175809,13,0.8149270441629245,-1.8890601239015727,-1.2461232901749513,2020-04-18,2020-07-18
72,windshield phone holder for car,16250,77487,3611.6153846153848,182789.07692307694,6.559674720512458,2999,184172,1926.6785555484485,45309.11008554009,13,0.7777467455621302,-1.3589644317508347,-2.3240817734948838,2020-04-18,2020-07-18
73,yianna,6167,129749,3019.6923076923076,185773.61538461538,5.102351767963389,2939,185888,616.8347137625802,18429.32871601885,13,0.5103466340696761,-0.4317922711128053,-3.0399704866037007,2020-04-18,2020-07-18
74,1v1.lol,5086,142990,1072.3,385900.0,3.8073349534912984,777,291808,1054.2019677883782,206766.90562509702,10,0.7891663389697208,-1.6987901251835793,-1.174801157204705,2020-04-18,2020-07-18
75,800,3937,162094,1366.076923076923,267493.6153846154,3.2034584368400165,1092,276839,802.546100600921,45906.496621826234,13,0.6530157675699967,-0.6502376114144593,-2.2959629494903155,2020-04-18,2020-07-18
76,air compressor for car,55350,38629,5773.153846153846,179637.23076923078,6.903461545956774,2894,187204,7181.447426600409,66907.24337612712,13,0.8956973108192621,-3.650320504523306,-2.1075181647603687,2020-04-18,2020-07-18
77,avery binder,3115,180998,897.6153846153846,299771.92307692306,6.693416060619689,941,290843,331.2784675721063,31821.467922514028,13,0.7118409680207433,-0.6562167707760476,-3.7325092408100145,2020-04-18,2020-07-18
78,baby recliner,9139,105746,2251.4615384615386,217672.38461538462,7.492593773194843,2057,217351,919.2462143322117,39616.60594064577,13,0.7536424621444864,-1.0584455640438846,-2.8252391126860923,2020-04-18,2020-07-18
79,backpack for girls elementary school,7053,121103,351.8181818181818,620384.3636363636,8.529006029477662,100,560996,785.6931739784707,264720.55925344094,11,0.9501179382081126,-4.122782785202379,-1.8860694652671703,2020-04-18,2020-07-18
80,balaclava camo face mask,241584,15231,50580.153846153844,59998.307692307695,4.434141155767685,35158,50244,43075.725251867305,40231.282661184225,13,0.7906311930998996,-2.939223143083691,-1.1127487052631284,2020-04-18,2020-07-18
81,beverages,217441,16396,24709.846153846152,147445.92307692306,3.104317327611402,3606,169016,62084.875193622574,62938.10227181086,13,0.8863606856395705,-7.992798431137049,-2.0822032814233515,2020-04-18,2020-07-18
82,bubble hair dye,8568,109411,634.9230769230769,330171.6153846154,36.43536547104786,718,315529,217.7301317144925,33122.08574234233,13,0.9258959994254111,-2.017718651548888,-6.665057783556224,2020-04-18,2020-07-18
83,butterfly cage,20995,67234,12658.076923076924,90420.23076923077,3.16704730221351,12113,90953,2632.396134751837,11474.41416916964,13,0.39709088244453805,-0.34485871388331446,-2.020689721269549,2020-04-18,2020-07-18
84,camping furniture,20513,68111,2541.0,277953.3846153846,3.796272582862406,826,302852,4734.117376378973,98712.79182096788,13,0.8761273338858285,-3.0808883236978555,-2.125787152246376,2020-04-18,2020-07-18
85,car tweeters,6560,125710,4631.307692307692,150463.46153846153,3.2675119693309584,4453,152687,590.2632724210704,8724.670496312783,13,0.2940079737335835,-0.19690924778030014,-2.8371801031251356,2020-04-18,2020-07-18
86,cat collars,1656309,2963,369368.76923076925,14251.307692307691,3.1854185799268997,243768,15134,404009.77092271624,4569.879217671137,13,0.7769928381535274,-3.809756224201043,-2.4701544952560788,2020-04-18,2020-07-18
87,clarisonic brush head,4270174,1466,146957.84615384616,22132.30769230769,91.38887984660114,147605,21219,45117.26329031596,4164.189064404084,13,0.9655850449761892,-14.097072095707839,-4.962864887419597,2020-04-18,2020-07-18
88,college planner,12226,90498,4453.692307692308,164523.23076923078,3.429847781131475,3545,170391,2266.0794846538874,40476.08528533412,13,0.635719588770464,-0.8179764278683593,-1.8288633954443383,2020-04-18,2020-07-18
89,colorful pens for notetaking,6467,126635,1894.5384615384614,285947.76923076925,3.011054461729918,1818,228749,1518.5582315354595,141760.40763976486,13,0.7070452355746929,-1.258046900389065,-1.123817093102664,2020-04-18,2020-07-18
90,corn cob stripper tool,6008,131490,860.5,476650.8333333333,3.6518615721717564,100,499663,1409.55507164495,217017.53772118664,6,0.8567743009320905,-2.6249968311912184,-1.5904743780513204,2020-04-18,2020-07-18
91,dry flowers for resin,12291,90241,3239.4615384615386,204024.07692307694,3.594180141415482,2853,188396,2518.387533568011,62951.88981868289,13,0.7364362917206461,-1.2608800536682543,-1.8074608602029347,2020-04-18,2020-07-18
92,erasers,850286,5394,476151.23076923075,9044.692307692309,4.197882265716494,446247,9381,89124.64560673237,1094.4822508546665,13,0.44001050144394854,-0.6768061378739912,-3.335542723366717,2020-04-18,2020-07-18
93,eye protection for coronavirus,264085,14288,31072.76923076923,201734.23076923078,4.167732025422577,2720,192496,55908.64032233576,168722.4963918336,13,0.8823380001485536,-13.11913709191145,-1.1109735499284814,2020-04-18,2020-07-18
94,float tubes for river,54634,38925,10300.5,308492.5,3.0552434448186307,1032,148922,14510.627647425255,301092.60695756046,10,0.8114635574916719,-6.925305073859987,-0.8952976385700364,2020-04-18,2020-07-18
95,frozen dinners,131993,22790,62719.307692307695,38030.153846153844,3.1763423809183005,70024,33614,21809.264871397412,8708.14843356644,13,0.5248285311167434,-0.668721098997536,-1.7501026725048836,2020-04-18,2020-07-18
96,glass canisters,22637,64464,12386.0,92234.69230769231,3.1900548018848593,12186,90660,3213.424419525065,13580.020854086928,13,0.4528426911693246,-0.4307938121694638,-2.0449668381278427,2020-04-18,2020-07-18
97,glokers,13451,85930,1187.875,547575.0,5.893262058536174,100,311350,2080.872168621335,323188.0781018119,8,0.911688722028102,-5.372337949493774,-1.4284097442931385,2020-04-18,2020-07-18
98,google pixel 3 xl case,5746,134490,1189.6153846153845,328766.07692307694,3.75176723114272,929,291998,1214.4635673457874,126349.44564873875,13,0.7929663444804412,-1.4445391993685548,-1.5376092544416815,2020-04-18,2020-07-18
99,heating pad for back pain relief,805877,5716,65172.61538461538,48908.769230769234,9.970511959429817,42164,45259,74289.50365129928,21519.185510275267,13,0.9191283342437924,-7.556467675082091,-2.0071749095775475,2020-04-18,2020-07-18
100,heroes rising,21043,67149,4015.076923076923,167762.3076923077,9.298026849236956,3310,175953,1831.3480217924382,27596.227865370227,13,0.8091965535771077,-1.4983589881056707,-3.6459079908730807,2020-04-18,2020-07-18
101,house of wax,41445,45711,16934.30769230769,82503.61538461539,3.2397382247237294,17001,75582,7565.639754669522,22546.00221598226,13,0.5914028786992956,-0.8048963134609917,-1.6318908794630602,2020-04-18,2020-07-18
102,how to train your dragon plush,3516,171053,1822.6923076923076,230907.3076923077,4.257960740579393,2013,219324,397.6804380017086,21351.608317191687,13,0.4816005950818238,-0.3499167374574412,-2.8032692808491975,2020-04-18,2020-07-18
103,hp officejet pro 8025,5243,140835,1891.0,235712.07692307694,3.3717320757404345,1545,244000,994.1477925003571,40227.36055734028,13,0.6393286286477208,-0.6736754139459434,-2.358521056529142,2020-04-18,2020-07-18
104,hula hoops for kids,16272,77431,4815.7692307692305,156164.38461538462,5.009568815128433,3550,170285,2286.8696273088444,32001.166704091847,13,0.7040456470766205,-1.016819937949718,-2.460328566874324,2020-04-18,2020-07-18
105,hybrid bikes for women,3898,162863,681.5384615384615,350923.23076923075,4.388491935184124,490,347892,732.9309443806893,82404.24014591506,13,0.8251568851876703,-1.1547142737713953,-2.2821669180642674,2020-04-18,2020-07-18
106,iphone 5s battery,74471,32400,11414.923076923076,98467.23076923077,12.025332847256184,11166,95031,5243.603459796492,16039.880730821362,13,0.8467198899313414,-2.039112060778727,-4.11893528873189,2020-04-18,2020-07-18
107,kensie perfume,3043,182957,357.61538461538464,390732.6923076923,8.624758590297441,294,384433,311.3576556688301,61637.71502819874,13,0.882479334664678,-1.135653144223464,-3.370918149912544,2020-04-18,2020-07-18
108,low calorie protein bars,3133,180513,1358.076923076923,263126.3076923077,3.3778980231793017,1320,258833,525.4519422266355,38373.26704313958,13,0.5665250804095362,-0.4576584938054749,-2.152886998113375,2020-04-18,2020-07-18
109,masks for women virus protection,7282,119115,699.0,530126.6,7.624183350803272,100,562339,863.4367376941984,301995.41460475855,5,0.9040098873935732,-3.4505444318515717,-1.3609862273502336,2020-04-18,2020-07-18
110,mermaid face mask for women,7337,118655,919.9230769230769,399358.6923076923,4.947723652840113,465,352016,1296.9756141075836,177331.1214683727,13,0.8746186347385747,-2.365713137311469,-1.5829353019557613,2020-04-18,2020-07-18
111,mochilas escolares para niños,9006,106571,1491.090909090909,388268.0909090909,3.683792292236967,791,306846,2039.9926203075079,221683.29811578256,11,0.8344336099166213,-2.6432809198477156,-1.2707186030855777,2020-04-18,2020-07-18
112,motorola g power case,21945,65593,4096.0,203722.61538461538,3.6256339028915066,1722,233777,4923.001184914205,70512.65114802505,13,0.8133515607199818,-2.1058590914368205,-1.9589337960736166,2020-04-18,2020-07-18
113,mountain bike frame,5335,139619,3032.153846153846,185287.84615384616,3.7423782428294365,3045,182882,615.3429729500244,17348.50639990925,13,0.43164876360752646,-0.3270962129355328,-2.632436770123626,2020-04-18,2020-07-18
114,n95 mask medical 3m,13765,84857,866.6923076923077,559579.0,5.400500769689913,100,604072,2388.354014260846,204465.1624225995,13,0.9370365196009947,-5.594376421509127,-2.3217744987716746,2020-04-18,2020-07-18
115,navy and white curtains,3731,166317,2074.769230769231,218738.15384615384,3.9445077473101273,2159,212982,419.88275225475223,19921.828391850962,13,0.4439106859369523,-0.31518818789512704,-2.6313425060722215,2020-04-18,2020-07-18
116,neck gaiter face mask men,204948,17076,19297.53846153846,117304.53846153847,7.600451103202097,11179,94974,24426.242471350986,78131.9337868277,13,0.9058417820054918,-5.869556012036687,-1.2828114396220927,2020-04-18,2020-07-18
117,nightmare before christmas mask,3616,168797,877.5384615384615,324480.0,3.62188507241281,746,312132,756.0873643727307,81845.39141882089,13,0.7573179033356024,-0.9223090457768799,-1.9021596366169942,2020-04-18,2020-07-18
118,one plus8 pro,7843,114607,620.5,479551.0,9.72572514672728,100,455465,742.6181483681329,230130.3192187294,8,0.920884865485146,-3.1843081138150375,-1.5858145125724863,2020-04-18,2020-07-18
119,oper,13015,87485,1946.4615384615386,235641.38461538462,11.050810957802918,1805,229389,1001.6041812499766,49913.43092551753,13,0.8504447530955406,-1.6935061395140267,-2.9682668946654553,2020-04-18,2020-07-18
120,outdoor wall lights,53550,39385,13665.846153846154,90852.0,7.060714620395196,12004,91400,5648.741804540103,20468.99712166345,13,0.7448021259785965,-1.306766535483052,-2.5143879641044884,2020-04-18,2020-07-18
121,pocket dividers,4522,151547,710.6923076923077,364740.76923076925,4.102259628229635,362,370491,929.0752018912306,99300.40242965941,13,0.8428367298336339,-1.4067831711005117,-2.146957756609169,2020-04-18,2020-07-18
122,pull up face mask,20275,68554,4314.7692307692305,198498.46153846153,3.222180800013637,2117,214739,4953.238741030057,67365.92607990009,13,0.7871877074836384,-1.8955051716670295,-1.9289345385728014,2020-04-18,2020-07-18
